iter	Passed	Remaining
819	1101	241
820	1103	240
821	1104	239
822	1105	237
823	1106	236
824	1107	234
825	1107	233
826	1109	232
827	1110	230
828	1111	229
829	1112	227
830	1113	226
831	1114	225
832	1115	223
833	1116	222
834	1117	220
835	1118	219
836	1119	217
837	1120	216
838	1121	215
839	1122	213
840	1123	212
841	1124	210
842	1125	209
843	1126	208
844	1127	206
845	1128	205
846	1129	204
847	1130	202
848	1131	201
849	1132	199
850	1133	198
851	1134	197
852	1135	195
853	1136	194
854	1137	192
855	1138	191
856	1140	190
857	1141	188
858	1142	187
859	1143	186
860	1144	184
861	1145	183
862	1146	181
863	1147	180
864	1148	179
865	1149	177
866	1151	176
867	1152	175
868	1153	173
869	1154	172
870	1155	171
871	1156	169
872	1157	168
873	1158	167
874	1159	165
875	1161	164
876	1162	163
877	1164	161
878	1164	160
879	1166	159
880	1167	157
881	1168	156
882	1169	154
883	1170	153
884	1171	152
885	1173	150
886	1174	149
887	1175	148
888	1177	146
889	1178	145
890	1180	144
891	1181	143
892	1182	141
893	1183	140
894	1185	139
895	1187	137
896	1188	136
897	1189	135
898	1190	133
899	1191	132
900	1192	131
901	1194	129
902	1195	128
903	1197	127
904	1198	125
905	1199	124
906	1200	123
907	1201	121
908	1202	120
909	1203	119
910	1204	117
911	1206	116
912	1207	115
913	1208	113
914	1209	112
915	1210	111
916	1212	109
917	1213	108
918	1214	107
919	1216	105
920	1217	104
921	1218	103
922	1219	101
923	1220	100
924	1221	99
925	1223	97
926	1224	96
927	1225	95
928	1226	93
929	1228	92
930	1229	91
931	1230	89
932	1231	88
933	1232	87
934	1233	85
935	1234	84
936	1236	83
937	1237	81
938	1238	80
939	1239	79
940	1240	77
941	1242	76
942	1243	75
943	1244	73
944	1245	72
945	1247	71
946	1248	69
947	1250	68
948	1251	67
949	1252	65
950	1254	64
951	1255	63
952	1256	61
953	1257	60
954	1258	59
955	1260	57
956	1261	56
957	1262	55
958	1263	54
959	1264	52
960	1266	51
961	1267	50
962	1268	48
963	1269	47
964	1270	46
965	1272	44
966	1273	43
967	1274	42
968	1276	40
969	1277	39
970	1278	38
971	1280	36
972	1281	35
973	1282	34
974	1283	32
975	1284	31
976	1285	30
977	1287	28
978	1288	27
979	1289	26
980	1291	25
981	1292	23
982	1293	22
983	1295	21
984	1296	19
985	1297	18
986	1299	17
987	1301	15
988	1302	14
989	1303	13
990	1304	11
991	1305	10
992	1306	9
993	1308	7
994	1309	6
995	1310	5
996	1311	3
997	1313	2
998	1314	1
999	1315	0
